,geo,time,child_mortality_0_5_year_olds_dying_per_1000_born
264,afg,2064,19.86
265,afg,2065,19.48
266,afg,2066,19.12
267,afg,2067,18.76
268,afg,2068,18.41
269,afg,2069,18.08
270,afg,2070,17.75
271,afg,2071,17.44
272,afg,2072,17.14
273,afg,2073,16.84
274,afg,2074,16.56
275,afg,2075,16.28
276,afg,2076,16.01
277,afg,2077,15.75
278,afg,2078,15.49
279,afg,2079,15.24
280,afg,2080,15.0
281,afg,2081,14.76
282,afg,2082,14.53
283,afg,2083,14.29
284,afg,2084,14.06
285,afg,2085,13.82
286,afg,2086,13.6
287,afg,2087,13.38
288,afg,2088,13.16
289,afg,2089,12.95
290,afg,2090,12.75
291,afg,2091,12.56
292,afg,2092,12.37
293,afg,2093,12.18
294,afg,2094,12.0
295,afg,2095,11.82
296,afg,2096,11.64
297,afg,2097,11.46
298,afg,2098,11.28
299,afg,2099,11.1
300,afg,2100,11.1
301,ago,1800,485.68
302,ago,1801,485.68
303,ago,1802,485.68
304,ago,1803,485.68
305,ago,1804,485.68
306,ago,1805,485.68
307,ago,1806,485.68
308,ago,1807,485.68
309,ago,1808,485.68
310,ago,1809,485.68
311,ago,1810,485.68
312,ago,1811,485.68
313,ago,1812,485.68
314,ago,1813,485.68
315,ago,1814,485.68
316,ago,1815,485.68
317,ago,1816,485.68
318,ago,1817,485.68
319,ago,1818,485.68
320,ago,1819,485.68
321,ago,1820,485.68
322,ago,1821,485.68
323,ago,1822,485.68
324,ago,1823,485.68
325,ago,1824,485.68
326,ago,1825,485.68
327,ago,1826,485.68
328,ago,1827,485.68
329,ago,1828,485.68
330,ago,1829,485.68
331,ago,1830,485.68
332,ago,1831,485.68
333,ago,1832,485.68
334,ago,1833,485.68
335,ago,1834,485.68
336,ago,1835,485.68
337,ago,1836,485.68
338,ago,1837,485.68
339,ago,1838,485.68
340,ago,1839,485.68
341,ago,1840,485.68
342,ago,1841,485.68
343,ago,1842,485.68
344,ago,1843,485.68
345,ago,1844,485.68
346,ago,1845,485.68
347,ago,1846,485.68
348,ago,1847,485.68
349,ago,1848,485.68
350,ago,1849,485.68
351,ago,1850,485.68
352,ago,1851,485.68
353,ago,1852,485.68
354,ago,1853,485.68
355,ago,1854,485.68
356,ago,1855,485.68
357,ago,1856,485.68
358,ago,1857,485.68
359,ago,1858,485.68
360,ago,1859,485.68
361,ago,1860,485.68
362,ago,1861,485.68
363,ago,1862,485.68
364,ago,1863,485.68
365,ago,1864,485.68
366,ago,1865,485.68
367,ago,1866,485.68
368,ago,1867,485.68
369,ago,1868,485.68
370,ago,1869,485.68
371,ago,1870,485.68
372,ago,1871,485.68
373,ago,1872,485.68
374,ago,1873,485.68
375,ago,1874,485.68
376,ago,1875,485.68
377,ago,1876,485.68
378,ago,1877,485.68
379,ago,1878,485.68
380,ago,1879,485.68
381,ago,1880,485.68
382,ago,1881,485.68
383,ago,1882,485.68
384,ago,1883,485.68
385,ago,1884,485.68
386,ago,1885,485.68
387,ago,1886,485.68
388,ago,1887,485.68
389,ago,1888,485.68
390,ago,1889,485.68
391,ago,1890,485.68
392,ago,1891,485.68
393,ago,1892,485.68
394,ago,1893,485.68
395,ago,1894,485.67
396,ago,1895,485.63
397,ago,1896,485.55
398,ago,1897,485.43
399,ago,1898,485.24
400,ago,1899,484.97
401,ago,1900,484.63
402,ago,1901,484.21
403,ago,1902,483.72
404,ago,1903,483.15
405,ago,1904,482.5
406,ago,1905,481.78
407,ago,1906,480.98
408,ago,1907,480.11
409,ago,1908,479.16
410,ago,1909,478.15
411,ago,1910,477.08
412,ago,1911,475.98
413,ago,1912,474.85
414,ago,1913,473.71
415,ago,1914,472.57
416,ago,1915,471.43
417,ago,1916,470.29
418,ago,1917,469.15
419,ago,1918,468.01
420,ago,1919,466.87
421,ago,1920,465.74
422,ago,1921,464.6
423,ago,1922,463.46
424,ago,1923,462.32
425,ago,1924,461.18
426,ago,1925,460.04
427,ago,1926,458.9
428,ago,1927,457.76
429,ago,1928,456.62
430,ago,1929,455.48
431,ago,1930,454.34
432,ago,1931,449.12
433,ago,1932,443.92
434,ago,1933,438.74
435,ago,1934,433.58
436,ago,1935,428.44
437,ago,1936,423.32
438,ago,1937,418.22
439,ago,1938,413.15
440,ago,1939,408.09
441,ago,1940,403.05
442,ago,1941,395.69
443,ago,1942,388.41
444,ago,1943,381.21
445,ago,1944,372.96
446,ago,1945,365.96
447,ago,1946,359.06
448,ago,1947,352.23
449,ago,1948,344.44
450,ago,1949,337.78
451,ago,1950,331.25
452,ago,1951,330.37
453,ago,1952,328.54
454,ago,1953,326.55
455,ago,1954,324.42
456,ago,1955,322.14
457,ago,1956,319.71
458,ago,1957,317.12
459,ago,1958,314.39
460,ago,1959,311.5
461,ago,1960,308.45
462,ago,1961,305.24
463,ago,1962,301.89
464,ago,1963,298.39
465,ago,1964,294.77
466,ago,1965,291.04
467,ago,1966,287.19
468,ago,1967,283.24
469,ago,1968,279.24
470,ago,1969,275.21
471,ago,1970,271.2
472,ago,1971,267.23
473,ago,1972,263.33
474,ago,1973,259.55
475,ago,1974,255.91
476,ago,1975,252.44
477,ago,1976,249.18
478,ago,1977,246.11
479,ago,1978,243.24
480,ago,1979,240.57
481,ago,1980,238.12
482,ago,1981,235.58
483,ago,1982,232.44
484,ago,1983,229.99
485,ago,1984,227.95
486,ago,1985,226.19
487,ago,1986,224.95
488,ago,1987,224.1
489,ago,1988,223.42
490,ago,1989,223.3
491,ago,1990,223.41
492,ago,1991,223.57
493,ago,1992,223.59
494,ago,1993,223.69
495,ago,1994,223.59
496,ago,1995,222.88
497,ago,1996,221.29
498,ago,1997,218.83
499,ago,1998,215.3
500,ago,1999,210.87
501,ago,2000,205.69
502,ago,2001,199.72
503,ago,2002,192.6
504,ago,2003,184.75
505,ago,2004,176.17
506,ago,2005,166.79
507,ago,2006,157.25
508,ago,2007,147.74
509,ago,2008,138.25
510,ago,2009,129.02
511,ago,2010,120.49
512,ago,2011,112.5
513,ago,2012,104.95
514,ago,2013,98.4
515,ago,2014,92.94
516,ago,2015,88.13
517,ago,2016,84.01
518,ago,2017,80.44
519,ago,2018,77.16
520,ago,2019,74.52
521,ago,2020,72.29
522,ago,2021,70.37
523,ago,2022,68.64
524,ago,2023,67.01
525,ago,2024,65.38
526,ago,2025,63.72
527,ago,2026,62.02
528,ago,2027,60.34
529,ago,2028,58.73
530,ago,2029,57.17
531,ago,2030,55.66
532,ago,2031,54.21
533,ago,2032,52.8
534,ago,2033,51.43
535,ago,2034,50.1
536,ago,2035,48.8
537,ago,2036,47.55
538,ago,2037,46.34
539,ago,2038,45.17
540,ago,2039,44.05
541,ago,2040,42.98
542,ago,2041,41.95
543,ago,2042,40.95
544,ago,2043,39.99
545,ago,2044,39.07
546,ago,2045,38.17
547,ago,2046,37.3
548,ago,2047,36.46
549,ago,2048,35.65
550,ago,2049,34.86
551,ago,2050,34.1
552,ago,2051,33.36
553,ago,2052,32.65
554,ago,2053,31.96
555,ago,2054,31.3
556,ago,2055,30.66
557,ago,2056,30.03
558,ago,2057,29.43
559,ago,2058,28.86
560,ago,2059,28.3
561,ago,2060,27.76
562,ago,2061,27.24
563,ago,2062,26.74
564,ago,2063,26.26
565,ago,2064,25.8
566,ago,2065,25.35
567,ago,2066,24.93
568,ago,2067,24.51
569,ago,2068,24.11
570,ago,2069,23.72
571,ago,2070,23.35
572,ago,2071,22.98
